
ORIGIN,Description,Sum(FLIGHTS)
"ABE","Allentown/Bethlehem/Easton, PA: Lehigh Valley International",2760
"ABI","Abilene, TX: Abilene Regional",1331
"ABQ","Albuquerque, NM: Albuquerque International Sunport",15963
"ABR","Aberdeen, SD: Aberdeen Regional",484
"ABY","Albany, GA: Southwest Georgia Regional",686
"ACK","Nantucket, MA: Nantucket Memorial",809
"ACT","Waco, TX: Waco Regional",1053
"ACV","Arcata/Eureka, CA: California Redwood Coast Humboldt County",907
"ACY","Atlantic City, NJ: Atlantic City International",2225
"ADK","Adak Island, AK: Adak",69
"ADQ","Kodiak, AK: Kodiak Airport",430
"AEX","Alexandria, LA: Alexandria International",2284
"AGS","Augusta, GA: Augusta Regional at Bush Field",3084
"AKN","King Salmon, AK: King Salmon Airport",63
"ALB","Albany, NY: Albany International",8418
"ALO","Waterloo, IA: Waterloo Regional",450
"AMA","Amarillo, TX: Rick Husband Amarillo International",3539
"ANC","Anchorage, AK: Ted Stevens Anchorage International",12861
"APN","Alpena, MI: Alpena County Regional",414
"ASE","Aspen, CO: Aspen Pitkin County Sardy Field",5203
"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",262696
"ATW","Appleton, WI: Appleton International",2891
"AUS","Austin, TX: Austin - Bergstrom International",42180
"AVL","Asheville, NC: Asheville Regional",4839
"AVP","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",2260
"AZA","Phoenix, AZ: Phoenix - Mesa Gateway",3618
"AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International",1872
"BDL","Hartford, CT: Bradley International",18748
"BET","Bethel, AK: Bethel Airport",563
"BFF","Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field",366
"BFL","Bakersfield, CA: Meadows Field",1543
"BGM","Binghamton, NY: Greater Binghamton/Edwin A. Link Field",601
"BGR","Bangor, ME: Bangor International",2768
"BHM","Birmingham, AL: Birmingham-Shuttlesworth International",11952
"BIL","Billings, MT: Billings Logan International",2956
"BIS","Bismarck/Mandan, ND: Bismarck Municipal",2514
"BJI","Bemidji, MN: Bemidji Regional",496
"BKG","Branson, MO: Branson Airport",34
"BLI","Bellingham, WA: Bellingham International",1622
"BLV","Belleville, IL: Scott AFB/MidAmerica",772
"BMI","Bloomington/Normal, IL: Central Illinois Regional",2107
"BNA","Nashville, TN: Nashville International",48550
"BOI","Boise, ID: Boise Air Terminal",12928
"BOS","Boston, MA: Logan International",99210
"BPT","Beaumont/Port Arthur, TX: Jack Brooks Regional",536
"BQK","Brunswick, GA: Brunswick Golden Isles",694
"BQN","Aguadilla, PR: Rafael Hernandez",1281
"BRD","Brainerd, MN: Brainerd Lakes Regional",429
"BRO","Brownsville, TX: Brownsville South Padre Island International",1679
"BRW","Barrow, AK: Wiley Post/Will Rogers Memorial",486
"BTM","Butte, MT: Bert Mooney",450
"BTR","Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",5114
"BTV","Burlington, VT: Burlington International",6392
"BUF","Buffalo, NY: Buffalo Niagara International",17373
"BUR","Burbank, CA: Bob Hope",17734
"BWI","Baltimore, MD: Baltimore/Washington International Thurgood Marshall",72112
"BZN","Bozeman, MT: Bozeman Yellowstone International",4098
"CAE","Columbia, SC: Columbia Metropolitan",4375
"CAK","Akron, OH: Akron-Canton Regional",5040
"CDC","Cedar City, UT: Cedar City Regional",416
"CDV","Cordova, AK: Merle K Mudhole Smith",484
"CGI","Cape Girardeau, MO: Cape Girardeau Regional",416
"CHA","Chattanooga, TN: Lovell Field",5715
"CHO","Charlottesville, VA: Charlottesville Albemarle",3735
"CHS","Charleston, SC: Charleston AFB/International",16027
"CID","Cedar Rapids/Iowa City, IA: The Eastern Iowa",6141
"CIU","Sault Ste. Marie, MI: Chippewa County International",450
"CKB","Clarksburg/Fairmont, WV: North Central West Virginia",544
"CLE","Cleveland, OH: Cleveland-Hopkins International",32461
"CLL","College Station/Bryan, TX: Easterwood Field",1529
"CLT","Charlotte, NC: Charlotte Douglas International",155727
"CMH","Columbus, OH: John Glenn Columbus International",30340
"CMI","Champaign/Urbana, IL: University of Illinois/Willard",1580
"CMX","Hancock/Houghton, MI: Houghton County Memorial",483
"CNY","Moab, UT: Canyonlands Field",209
"COD","Cody, WY: Yellowstone Regional",551
"COS","Colorado Springs, CO: City of Colorado Springs Municipal",7040
"COU","Columbia, MO: Columbia Regional",1523
"CPR","Casper, WY: Casper/Natrona County International",658
"CRP","Corpus Christi, TX: Corpus Christi International",3675
"CRW","Charleston/Dunbar, WV: Yeager",3114
"CSG","Columbus, GA: Columbus Airport",869
"CVG","Cincinnati, OH: Cincinnati/Northern Kentucky International",33325
"CWA","Mosinee, WI: Central Wisconsin",2006
"DAB","Daytona Beach, FL: Daytona Beach International",2412
"DAL","Dallas, TX: Dallas Love Field",47599
